id,originalTitle,description,budget,genres,averageRating,averageRating.1,metascore
tt0105695,Unforgiven,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",14400000.0,"['Drama', 'Western']",8.2,8.2,85.0
tt0268978,A Beautiful Mind,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",58000000.0,"['Biography', 'Drama', 'Mystery']",8.2,8.2,72.0
tt0040897,The Treasure of the Sierra Madre,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,3000000.0,"['Adventure', 'Drama', 'Western']",8.2,8.2,98.0
tt0347149,Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",24000000.0,"['Adventure', 'Animation', 'Family']",8.2,8.2,82.0
tt0266543,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",94000000.0,"['Adventure', 'Animation', 'Comedy']",8.2,8.2,90.0
tt0055630,Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,,"['Action', 'Drama', 'Thriller']",8.2,8.2,93.0
tt4729430,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",40000000.0,"['Adventure', 'Animation', 'Comedy']",8.2,8.2,65.0
tt0057115,The Great Escape,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.,4000000.0,"['Adventure', 'Drama', 'Thriller']",8.2,8.2,86.0
tt0080678,The Elephant Man,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",5000000.0,"['Biography', 'Drama']",8.2,8.2,78.0
tt0071853,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",229575.0,"['Adventure', 'Comedy', 'Fantasy']",8.2,8.2,91.0
tt0346336,La meglio gioventù,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,,"['Drama', 'Romance']",8.4,8.4,89.0
tt0046912,Dial M for Murder,"A London playboy plots the perfect murder of his rich, unfaithful wife.",1400000.0,"['Crime', 'Drama', 'Mystery']",8.2,8.2,75.0
tt1305806,El secreto de sus ojos,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later.",2000000.0,"['Drama', 'Mystery', 'Romance']",8.2,8.2,80.0
tt0031381,Gone with the Wind,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,3977000.0,"['Drama', 'Romance', 'War']",8.2,8.2,97.0
tt32820897,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",20000000.0,"['Action', 'Adventure', 'Animation']",8.4,8.4,67.0
tt0252488,Hababam Sinifi: Sinifta Kaldi,"A group of students have failed their exams and must return for another year. Distracting them all is a new young female teacher, who they try out their usual tricks on.",,['Comedy'],8.5,8.5,
tt0071315,Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",6000000.0,"['Drama', 'Mystery', 'Thriller']",8.1,8.1,92.0
tt0120735,"Lock, Stock and Two Smoking Barrels","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",960000.0,"['Comedy', 'Crime']",8.1,8.1,67.0
tt0434409,V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",54000000.0,"['Action', 'Drama', 'Sci-Fi']",8.1,8.1,62.0
tt2096673,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school.",175000000.0,"['Adventure', 'Animation', 'Comedy']",8.1,8.1,94.0
tt0264464,Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",52000000.0,"['Biography', 'Crime', 'Drama']",8.1,8.1,75.0
tt0042876,Rashômon,Three parties and a witness have four versions of a rape/murder in ninth-century Japan.,250000.0,"['Crime', 'Drama', 'Mystery']",8.1,8.1,98.0
tt5027774,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,15000000.0,"['Comedy', 'Crime', 'Drama']",8.1,8.1,88.0
tt0117951,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",1500000.0,"['Crime', 'Drama']",8.1,8.1,83.0
tt0050212,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",3000000.0,"['Adventure', 'Drama', 'War']",8.1,8.1,88.0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his army.",125000000.0,"['Adventure', 'Family', 'Fantasy']",8.1,8.1,85.0
tt0097165,Dead Poets Society,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",16400000.0,"['Comedy', 'Drama']",8.1,8.1,79.0
tt0116282,Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,7000000.0,"['Crime', 'Drama', 'Thriller']",8.1,8.1,88.0
tt29623480,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",78000000.0,"['Adventure', 'Animation', 'Family']",8.2,8.2,85.0
tt1291584,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",25000000.0,"['Action', 'Drama', 'Sport']",8.1,8.1,71.0
tt0081398,Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",18000000.0,"['Biography', 'Drama', 'Sport']",8.1,8.1,90.0
tt0072684,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,11000000.0,"['Adventure', 'Drama', 'War']",8.1,8.1,89.0
